Freq,Lterz,Uph,Lambda1,Lambda2
31.5,101.8,97.02,0.1290,0.01583
40,102.9,101.8,0.1295,0.01590
50,103.8,106.4,0.1302,0.01601
63,104.8,111.4,0.1314,0.01618
80,105.9,116.9,0.1333,0.01645
100,106.8,122.2,0.1361,0.01685
125,107.8,127.8,0.1402,0.01745
160,108.9,134.3,0.1473,0.01845
200,109.8,140.4,0.1568,0.01979
250,110.8,146.8,0.1701,0.02166
315,111.8,153.7,0.1887,0.02425
400,112.8,161.2,0.2129,0.02760
500,113.7,168.5,0.2377,0.03099
630,114.7,176.1,0.2594,0.03392
800,115.7,183.9,0.2677,0.03500
1000,116.5,190.2,0.2563,0.03345
1250,117.3,194.6,0.2286,0.02978
1600,118.2,195.5,0.1883,0.02448
2000,118.9,192.6,0.1513,0.01966
2500,119.5,187.3,0.1186,0.01541
3150,120.1,180.8,0.09116,0.01184
4000,120.6,173.9,0.06915,0.008981
5000,121.0,167.9,0.05345,0.006941
6300,121.4,162.5,0.04104,0.005330
8000,121.8,157.7,0.03138,0.004075
10000,122.2,154.2,0.02454,0.003187
12500,122.5,151.4,0.01928,0.002504
16000,122.9,149.3,0.01485,0.001928
20000,123.1,147.9,0.01177,0.001528
