Freq,Lterz,P^2,Uph,Lambda1,Lambda2
"3,15E+01","1,02E+02","6,05E+00","9,70E+01","1,29E-01","1,58E-02"
"3,50E+01",,,,,
"4,00E+01","1,03E+02","7,80E+00","1,02E+02","1,30E-01","1,59E-02"
"4,50E+01",,,,,
"5,00E+01","1,04E+02","9,60E+00","1,06E+02","1,30E-01","1,60E-02"
"5,60E+01",,,,,
"6,30E+01","1,05E+02","1,21E+01","1,11E+02","1,31E-01","1,62E-02"
"7,10E+01",,,,,
"8,00E+01","1,06E+02","1,56E+01","1,17E+02","1,33E-01","1,65E-02"
"8,50E+01",,,,,
"9,00E+01",,,,,
"9,50E+01",,,,,
"1,00E+02","1,07E+02","1,91E+01","1,22E+02","1,36E-01","1,69E-02"
"1,08E+02",,,,,
"1,16E+02",,,,,
"1,25E+02","1,08E+02","2,41E+01","1,28E+02","1,40E-01","1,75E-02"
"1,40E+02",,,,,
"1,60E+02","1,09E+02","3,11E+01","1,34E+02","1,47E-01","1,85E-02"
"1,80E+02",,,,,
"2,00E+02","1,10E+02","3,82E+01","1,40E+02","1,57E-01","1,98E-02"
"2,20E+02",,,,,
"2,40E+02",,,,,
"2,50E+02","1,11E+02","4,81E+01","1,47E+02","1,70E-01","2,17E-02"
"2,70E+02",,,,,
"2,90E+02",,,,,
"3,15E+02","1,12E+02","6,05E+01","1,54E+02","1,89E-01","2,43E-02"
"3,40E+02",,,,,
"3,70E+02",,,,,
"4,00E+02","1,13E+02","7,62E+01","1,61E+02","2,13E-01","2,76E-02"
"4,35E+02",,,,,
"4,70E+02",,,,,
"5,00E+02","1,14E+02","9,38E+01","1,69E+02","2,38E-01","3,10E-02"
"5,50E+02",,,,,
"6,30E+02","1,15E+02","1,18E+02","1,76E+02","2,59E-01","3,39E-02"
"7,15E+02",,,,,
"8,00E+02","1,16E+02","1,49E+02","1,84E+02","2,68E-01","3,50E-02"
"9,00E+02",,,,,
"1,00E+03","1,17E+02","1,79E+02","1,90E+02","2,56E-01","3,35E-02"
"1,12E+03",,,,,
"1,25E+03","1,17E+02","2,15E+02","1,95E+02","2,29E-01","2,98E-02"
"1,40E+03",,,,,
"1,60E+03","1,18E+02","2,64E+02","1,96E+02","1,88E-01","2,45E-02"
"1,80E+03",,,,,
"2,00E+03","1,19E+02","3,11E+02","1,93E+02","1,51E-01","1,97E-02"
"2,25E+03",,,,,
"2,50E+03","1,20E+02","3,57E+02","1,87E+02","1,19E-01","1,54E-02"
"2,80E+03",,,,,
"3,15E+03","1,20E+02","4,09E+02","1,81E+02","9,12E-02","1,18E-02"
"3,60E+03",,,,,
"4,00E+03","1,21E+02","4,59E+02","1,74E+02","6,92E-02","8,98E-03"
"4,50E+03",,,,,
"5,00E+03","1,21E+02","5,04E+02","1,68E+02","5,35E-02","6,94E-03"
"5,60E+03",,,,,
"6,30E+03","1,21E+02","5,52E+02","1,63E+02","4,10E-02","5,33E-03"
"7,10E+03",,,,,
"8,00E+03","1,22E+02","6,05E+02","1,58E+02","3,14E-02","4,08E-03"
"9,00E+03",,,,,
"1,00E+04","1,22E+02","6,64E+02","1,54E+02","2,45E-02","3,19E-03"
"1,12E+04",,,,,
"1,25E+04","1,23E+02","7,11E+02","1,51E+02","1,93E-02","2,50E-03"
"1,40E+04",,,,,
"1,60E+04","1,23E+02","7,80E+02","1,49E+02","1,49E-02","1,93E-03"
"1,80E+04",,,,,
"2,00E+04","1,23E+02","8,17E+02","1,48E+02","1,18E-02","1,53E-03"
