Freq,Lterz,P^2,Uph,Lambda1,Lambda2
"31,5","101,8","6,0542","97,02","0,129","0,01583"
35,,,,,
40,"102,9","7,7994","101,8","0,1295","0,0159"
45,,,,,
50,"103,8","9,5953","106,4","0,1302","0,01601"
56,,,,,
63,"104,8","12,08","111,4","0,1314","0,01618"
71,,,,,
80,"105,9","15,562","116,9","0,1333","0,01645"
85,,,,,
90,,,,,
95,,,,,
100,"106,8","19,145","122,2","0,1361","0,01685"
108,,,,,
116,,,,,
125,"107,8","24,102","127,8","0,1402","0,01745"
140,,,,,
160,"108,9","31,05","134,3","0,1473","0,01845"
180,,,,,
200,"109,8","38,2","140,4","0,1568","0,01979"
220,,,,,
240,,,,,
250,"110,8","48,091","146,8","0,1701","0,02166"
270,,,,,
290,,,,,
315,"111,8","60,542","153,7","0,1887","0,02425"
340,,,,,
370,,,,,
400,"112,8","76,218","161,2","0,2129","0,0276"
435,,,,,
470,,,,,
500,"113,7","93,769","168,5","0,2377","0,03099"
550,,,,,
630,"114,7","118,05","176,1","0,2594","0,03392"
715,,,,,
800,"115,7","148,61","183,9","0,2677","0,035"
900,,,,,
1000,"116,5","178,67","190,2","0,2563","0,03345"
1120,,,,,
1250,"117,3","214,81","194,6","0,2286","0,02978"
1400,,,,,
1600,"118,2","264,28","195,5","0,1883","0,02448"
1800,,,,,
2000,"118,9","310,5","192,6","0,1513","0,01966"
2250,,,,,
2500,"119,5","356,5","187,3","0,1186","0,01541"
2800,,,,,
3150,"120,1","409,32","180,8","0,09116","0,01184"
3600,,,,,
4000,"120,6","459,26","173,9","0,06915","0,008981"
4500,,,,,
5000,121,"503,57","167,9","0,05345","0,006941"
5600,,,,,
6300,"121,4","552,15","162,5","0,04104","0,00533"
7100,,,,,
8000,"121,8","605,42","157,7","0,03138","0,004075"
9000,,,,,
10000,"122,2","663,83","154,2","0,02454","0,003187"
11200,,,,,
12500,"122,5","711,31","151,4","0,01928","0,002504"
14000,,,,,
16000,"122,9","779,94","149,3","0,01485","0,001928"
18000,,,,,
20000,"123,1","816,7","147,9","0,01177","0,001528"
